ano,genero,mes,numero,uf_id,data,data_ordinal
2015,0,7,15,42,2015-07-01,735780
2015,0,6,16,42,2015-06-01,735750
2015,0,5,16,42,2015-05-01,735719
2015,0,12,3,50,2015-12-01,735933
2015,0,11,1,50,2015-11-01,735903
2015,0,10,2,50,2015-10-01,735872
2015,0,9,0,50,2015-09-01,735842
2015,0,8,5,50,2015-08-01,735811
2015,0,7,3,50,2015-07-01,735780
2015,0,6,3,50,2015-06-01,735750
2015,0,5,1,50,2015-05-01,735719
2015,0,4,3,50,2015-04-01,735689
2015,0,3,0,50,2015-03-01,735658
2015,0,2,1,50,2015-02-01,735630
2015,0,1,1,50,2015-01-01,735599
2015,0,12,5,43,2015-12-01,735933
2015,0,11,8,43,2015-11-01,735903
2015,0,10,11,43,2015-10-01,735872
2015,0,9,6,43,2015-09-01,735842
2015,0,4,11,52,2015-04-01,735689
2015,0,3,8,52,2015-03-01,735658
2015,0,2,8,52,2015-02-01,735630
2015,0,1,6,52,2015-01-01,735599
2015,0,12,0,51,2015-12-01,735933
2015,0,11,0,51,2015-11-01,735903
2015,0,10,1,51,2015-10-01,735872
2015,0,9,5,51,2015-09-01,735842
2015,0,8,0,51,2015-08-01,735811
2015,0,7,1,51,2015-07-01,735780
2015,0,6,2,51,2015-06-01,735750
2015,0,5,1,51,2015-05-01,735719
2015,0,4,0,51,2015-04-01,735689
2015,0,3,1,51,2015-03-01,735658
2015,0,2,1,51,2015-02-01,735630
2015,0,1,2,51,2015-01-01,735599
2015,0,8,2,53,2015-08-01,735811
2015,0,7,5,53,2015-07-01,735780
2015,0,6,4,53,2015-06-01,735750
2015,0,5,6,53,2015-05-01,735719
2015,0,4,6,53,2015-04-01,735689
2015,0,3,5,53,2015-03-01,735658
2015,0,2,4,53,2015-02-01,735630
2015,0,1,3,53,2015-01-01,735599
2015,0,12,12,52,2015-12-01,735933
2015,0,11,5,52,2015-11-01,735903
2015,0,10,8,52,2015-10-01,735872
2015,0,9,8,52,2015-09-01,735842
2015,0,8,2,52,2015-08-01,735811
2015,0,7,10,52,2015-07-01,735780
2015,0,6,8,52,2015-06-01,735750
2015,0,5,9,52,2015-05-01,735719
2015,0,4,2,13,2015-04-01,735689
2015,0,3,3,13,2015-03-01,735658
2015,0,2,6,13,2015-02-01,735630
2015,0,1,0,13,2015-01-01,735599
2015,0,8,1,11,2015-08-01,735811
2015,0,7,3,11,2015-07-01,735780
2015,0,6,0,11,2015-06-01,735750
2015,0,5,0,11,2015-05-01,735719
2015,0,4,0,11,2015-04-01,735689
2015,0,3,1,11,2015-03-01,735658
2015,0,2,0,11,2015-02-01,735630
2015,0,1,1,11,2015-01-01,735599
2015,0,12,5,53,2015-12-01,735933
2015,0,11,7,53,2015-11-01,735903
2015,0,10,4,53,2015-10-01,735872
2015,0,9,5,53,2015-09-01,735842
2015,1,8,1,11,2015-08-01,735811
2015,1,7,0,11,2015-07-01,735780
2015,1,6,3,11,2015-06-01,735750
2015,1,5,0,11,2015-05-01,735719
2015,1,4,1,11,2015-04-01,735689
2015,1,3,0,11,2015-03-01,735658
2015,1,2,1,11,2015-02-01,735630
2015,1,1,2,11,2015-01-01,735599
2015,1,4,2,13,2015-04-01,735689
2015,1,3,2,13,2015-03-01,735658
2015,1,2,3,13,2015-02-01,735630
2015,1,1,2,13,2015-01-01,735599
2015,0,8,6,13,2015-08-01,735811
2015,0,7,7,13,2015-07-01,735780
2015,0,6,4,13,2015-06-01,735750
2015,0,5,4,13,2015-05-01,735719
2015,1,8,1,12,2015-08-01,735811
2015,1,7,1,12,2015-07-01,735780
2015,1,6,0,12,2015-06-01,735750
2015,1,5,0,12,2015-05-01,735719
2015,1,4,0,12,2015-04-01,735689
2015,1,3,0,12,2015-03-01,735658
2015,1,2,0,12,2015-02-01,735630
2015,1,1,0,12,2015-01-01,735599
2015,1,8,0,14,2015-08-01,735811
2015,1,7,0,14,2015-07-01,735780
2015,1,6,1,14,2015-06-01,735750
2015,1,5,0,14,2015-05-01,735719
2015,1,12,1,11,2015-12-01,735933
2015,1,11,1,11,2015-11-01,735903
2015,1,10,0,11,2015-10-01,735872
2015,1,9,1,11,2015-09-01,735842
2015,1,12,0,13,2015-12-01,735933
2015,1,11,1,13,2015-11-01,735903
2015,1,10,2,13,2015-10-01,735872
2015,1,9,3,13,2015-09-01,735842
2015,1,8,5,13,2015-08-01,735811
2015,1,7,28,13,2015-07-01,735780
2015,1,6,3,13,2015-06-01,735750
2015,1,5,3,13,2015-05-01,735719
2015,1,12,15,15,2015-12-01,735933
2015,1,11,2,15,2015-11-01,735903
2015,1,10,1,15,2015-10-01,735872
2015,1,9,3,15,2015-09-01,735842
2015,1,12,2,12,2015-12-01,735933
2015,1,11,1,12,2015-11-01,735903
2015,1,10,0,12,2015-10-01,735872
2015,1,9,1,12,2015-09-01,735842
2015,1,4,1,15,2015-04-01,735689
2015,1,3,2,15,2015-03-01,735658
2015,1,2,0,15,2015-02-01,735630
2015,1,1,0,15,2015-01-01,735599
2015,1,12,1,14,2015-12-01,735933
2015,1,11,1,14,2015-11-01,735903
2015,1,10,0,14,2015-10-01,735872
2015,1,9,2,14,2015-09-01,735842
2015,1,4,0,17,2015-04-01,735689
2015,1,3,0,17,2015-03-01,735658
2015,1,2,0,17,2015-02-01,735630
2015,1,1,0,17,2015-01-01,735599
2015,1,4,1,14,2015-04-01,735689
2015,1,3,0,14,2015-03-01,735658
2015,1,2,0,14,2015-02-01,735630
2015,1,1,0,14,2015-01-01,735599
2015,1,8,0,16,2015-08-01,735811
2015,1,7,0,16,2015-07-01,735780
2015,1,6,0,16,2015-06-01,735750
2015,1,5,0,16,2015-05-01,735719
2015,1,4,0,16,2015-04-01,735689
2015,1,3,0,16,2015-03-01,735658
2015,1,2,0,16,2015-02-01,735630
2015,1,1,0,16,2015-01-01,735599
2015,1,8,1,21,2015-08-01,735811
2015,1,7,5,21,2015-07-01,735780
2015,1,6,1,21,2015-06-01,735750
2015,1,5,1,21,2015-05-01,735719
2015,1,8,2,15,2015-08-01,735811
2015,1,7,1,15,2015-07-01,735780
2015,1,6,4,15,2015-06-01,735750
2015,1,5,1,15,2015-05-01,735719
2015,1,12,1,17,2015-12-01,735933
2015,1,11,1,17,2015-11-01,735903
2015,1,10,0,17,2015-10-01,735872
2015,1,9,0,17,2015-09-01,735842
2015,1,8,0,17,2015-08-01,735811
2015,1,7,0,17,2015-07-01,735780
2015,1,6,0,17,2015-06-01,735750
2015,1,5,0,17,2015-05-01,735719
2015,1,12,1,22,2015-12-01,735933
2015,1,11,1,22,2015-11-01,735903
2015,1,10,2,22,2015-10-01,735872
2015,1,9,0,22,2015-09-01,735842
2015,1,12,1,16,2015-12-01,735933
2015,1,11,0,16,2015-11-01,735903
2015,1,10,0,16,2015-10-01,735872
2015,1,9,2,16,2015-09-01,735842
2015,1,4,0,22,2015-04-01,735689
2015,1,3,0,22,2015-03-01,735658
2015,1,2,1,22,2015-02-01,735630
2015,1,1,2,22,2015-01-01,735599
2015,1,12,5,21,2015-12-01,735933
2015,1,11,0,21,2015-11-01,735903
2015,1,10,3,21,2015-10-01,735872
2015,1,9,5,21,2015-09-01,735842
2015,1,4,2,24,2015-04-01,735689
2015,1,3,3,24,2015-03-01,735658
2015,1,2,1,24,2015-02-01,735630
2015,1,1,1,24,2015-01-01,735599
2015,1,4,0,21,2015-04-01,735689
2015,1,3,2,21,2015-03-01,735658
2015,1,2,1,21,2015-02-01,735630
2015,1,1,0,21,2015-01-01,735599
2015,1,8,16,23,2015-08-01,735811
2015,1,7,18,23,2015-07-01,735780
2015,1,6,30,23,2015-06-01,735750
2015,1,5,13,23,2015-05-01,735719
2015,1,4,17,23,2015-04-01,735689
2015,1,3,9,23,2015-03-01,735658
2015,1,2,9,23,2015-02-01,735630
2015,1,1,6,23,2015-01-01,735599
2015,1,8,3,25,2015-08-01,735811
2015,1,7,1,25,2015-07-01,735780
2015,1,6,3,25,2015-06-01,735750
2015,1,5,1,25,2015-05-01,735719
2015,1,8,0,22,2015-08-01,735811
2015,1,7,0,22,2015-07-01,735780
2015,1,6,1,22,2015-06-01,735750
2015,1,5,1,22,2015-05-01,735719
2015,1,12,5,24,2015-12-01,735933
2015,1,11,3,24,2015-11-01,735903
2015,1,10,3,24,2015-10-01,735872
2015,1,9,3,24,2015-09-01,735842
2015,1,8,3,24,2015-08-01,735811
2015,1,7,5,24,2015-07-01,735780
2015,1,6,1,24,2015-06-01,735750
2015,1,5,1,24,2015-05-01,735719
2015,1,12,15,26,2015-12-01,735933
2015,1,11,11,26,2015-11-01,735903
2015,1,10,8,26,2015-10-01,735872
2015,1,9,12,26,2015-09-01,735842
2015,1,12,32,23,2015-12-01,735933
2015,1,11,25,23,2015-11-01,735903
2015,1,10,20,23,2015-10-01,735872
2015,1,9,28,23,2015-09-01,735842
2015,1,4,8,26,2015-04-01,735689
2015,1,3,12,26,2015-03-01,735658
2015,1,2,6,26,2015-02-01,735630
2015,1,1,11,26,2015-01-01,735599
2015,1,12,4,25,2015-12-01,735933
2015,1,11,1,25,2015-11-01,735903
2015,1,10,4,25,2015-10-01,735872
2015,1,9,4,25,2015-09-01,735842
2015,1,4,5,28,2015-04-01,735689
2015,1,3,2,28,2015-03-01,735658
2015,1,2,0,28,2015-02-01,735630
2015,1,1,0,28,2015-01-01,735599
2015,1,4,2,25,2015-04-01,735689
2015,1,3,5,25,2015-03-01,735658
2015,1,2,1,25,2015-02-01,735630
2015,1,1,2,25,2015-01-01,735599
2015,1,8,0,27,2015-08-01,735811
2015,1,7,1,27,2015-07-01,735780
2015,1,6,1,27,2015-06-01,735750
2015,1,5,3,27,2015-05-01,735719
2015,1,4,1,27,2015-04-01,735689
2015,1,3,3,27,2015-03-01,735658
2015,1,2,1,27,2015-02-01,735630
2015,1,1,1,27,2015-01-01,735599
2015,1,8,0,29,2015-08-01,735811
2015,1,7,5,29,2015-07-01,735780
2015,1,6,4,29,2015-06-01,735750
2015,1,5,3,29,2015-05-01,735719
2015,1,8,7,26,2015-08-01,735811
2015,1,7,22,26,2015-07-01,735780
2015,1,6,7,26,2015-06-01,735750
2015,1,5,10,26,2015-05-01,735719
2015,1,12,1,28,2015-12-01,735933
2015,1,11,0,28,2015-11-01,735903
2015,1,10,2,28,2015-10-01,735872
2015,1,9,2,28,2015-09-01,735842
2015,1,8,0,28,2015-08-01,735811
2015,1,7,0,28,2015-07-01,735780
2015,1,6,2,28,2015-06-01,735750
2015,1,5,2,28,2015-05-01,735719
2015,1,12,26,31,2015-12-01,735933
2015,1,11,21,31,2015-11-01,735903
2015,1,10,17,31,2015-10-01,735872
2015,1,9,20,31,2015-09-01,735842
2015,1,12,11,27,2015-12-01,735933
2015,1,11,3,27,2015-11-01,735903
2015,1,10,2,27,2015-10-01,735872
2015,1,9,2,27,2015-09-01,735842
2015,1,4,10,31,2015-04-01,735689
2015,1,3,10,31,2015-03-01,735658
2015,1,2,13,31,2015-02-01,735630
2015,1,1,23,31,2015-01-01,735599
2015,1,12,6,29,2015-12-01,735933
2015,1,11,7,29,2015-11-01,735903
2015,1,10,6,29,2015-10-01,735872
2015,1,9,10,29,2015-09-01,735842
2015,1,4,15,33,2015-04-01,735689
2015,1,3,23,33,2015-03-01,735658
2015,1,2,23,33,2015-02-01,735630
2015,1,1,13,33,2015-01-01,735599
2015,1,4,6,29,2015-04-01,735689
2015,1,3,2,29,2015-03-01,735658
2015,1,2,7,29,2015-02-01,735630
2015,1,1,5,29,2015-01-01,735599
2015,1,8,2,32,2015-08-01,735811
2015,1,7,6,32,2015-07-01,735780
2015,1,6,2,32,2015-06-01,735750
2015,1,5,3,32,2015-05-01,735719
2015,1,4,6,32,2015-04-01,735689
2015,1,3,2,32,2015-03-01,735658
2015,1,2,1,32,2015-02-01,735630
2015,1,1,2,32,2015-01-01,735599
2015,1,8,96,35,2015-08-01,735811
2015,1,7,100,35,2015-07-01,735780
2015,1,6,86,35,2015-06-01,735750
2015,1,5,76,35,2015-05-01,735719
2015,1,8,17,31,2015-08-01,735811
2015,1,7,18,31,2015-07-01,735780
2015,1,6,10,31,2015-06-01,735750
2015,1,5,16,31,2015-05-01,735719
2015,1,12,107,33,2015-12-01,735933
2015,1,11,27,33,2015-11-01,735903
2015,1,10,20,33,2015-10-01,735872
2015,1,9,26,33,2015-09-01,735842
2015,1,8,13,33,2015-08-01,735811
2015,1,7,26,33,2015-07-01,735780
2015,1,6,26,33,2015-06-01,735750
2015,1,5,18,33,2015-05-01,735719
2015,1,12,18,41,2015-12-01,735933
2015,1,11,9,41,2015-11-01,735903
2015,1,10,13,41,2015-10-01,735872
2015,1,9,15,41,2015-09-01,735842
2015,1,12,4,32,2015-12-01,735933
2015,1,11,4,32,2015-11-01,735903
2015,1,10,4,32,2015-10-01,735872
2015,1,9,1,32,2015-09-01,735842
2015,1,4,12,41,2015-04-01,735689
2015,1,3,7,41,2015-03-01,735658
2015,1,2,13,41,2015-02-01,735630
2015,1,1,4,41,2015-01-01,735599
2015,1,12,128,35,2015-12-01,735933
2015,1,11,111,35,2015-11-01,735903
2015,1,10,126,35,2015-10-01,735872
2015,1,9,109,35,2015-09-01,735842
2015,1,4,9,43,2015-04-01,735689
2015,1,3,12,43,2015-03-01,735658
2015,1,2,9,43,2015-02-01,735630
2015,1,1,10,43,2015-01-01,735599
2015,1,4,72,35,2015-04-01,735689
2015,1,3,95,35,2015-03-01,735658
2015,1,2,64,35,2015-02-01,735630
2015,1,1,87,35,2015-01-01,735599
2015,1,8,6,42,2015-08-01,735811
2015,1,7,12,42,2015-07-01,735780
2015,1,6,9,42,2015-06-01,735750
2015,1,5,17,42,2015-05-01,735719
2015,1,4,8,42,2015-04-01,735689
2015,1,3,3,42,2015-03-01,735658
